users,text
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username Dictator Paul Biya Must Go ! bad corrupt leader \#Cameroon \#Africa \#USA \#ONU \#UN \#Macron \#EmmanuelMacron @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Dictator Paul Biya Must Go ! bad \& corrupt leader \#Cameroon \#Africa \#USA \#ONU \#UN \#Macron \#EmmanuelMacron @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Le 23 avril, faites le choix de la paix ! Merci à @Username pour ce nouveau remix tiré de \#JLMMarseille. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username Faut pas confondre @Username et Hollande ! Hollande c'est Macron 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Voici une affiche de propagande Pétainiste des années 40 !!! juste comme ça... \#EnMarche de @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Hey les courtisans et les marquis ! J'crois que vous pigez pas bien là ! Un dessin vaut mieux qu'un long discours \#SansMoiLe7Mai @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username On me dit que le conseiller comm de \#hollande, Gaspard Gantzer pourrait être investi par @Username aux législatives
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Comme 12% des entrepreneurs, il soutient @Username ""Mes clients et mes fournisseurs me suivent dans ma démarche""  
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Noam Ambrourousi : 820 000 contrats coopératifs, cela représente 6,4 mds€ de coût en fin de mandat. \#JLMChiffrage  
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username Une Belle victoire pour l'humanité ! Une vrai programme qui ma fait changer ma façon de voir la politique !
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username On est CHAUD !! @Username @Username \#MelenChonReaction 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Quand @Username ne sait plus ce qu'il défend, ça donne \#EmmanuelLePen @Username @Username bouarf, c'est pareil hein. \#JLM2017 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username C'est vraiment un gougeat .... Sa femme à que 2 ans d'écart avec @Username il a encore perdu une occasion de se taire 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Conférence de presse à \#Marseille. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Plutôt que permettre la réussite de tous grâce à l'éducation, Mme Le Pen accentuera le poids des déterminismes sociaux. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username 30 voix en moins pour jlm et 10 pour fillon, \#ElectionsTruquées nous avons pleins d'autres preuves 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username 🇫🇷 \#8mai1945 - Victoire sur le nazisme ! 🇫🇷 Pour célébrer @Username va détruire le programme du Conseil National de la Résistance 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Annonce d'1 ralliement à JLM ?
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username 70 000 personnes sur place et plus de 50 000 en permanence sur Youtube et Facebook. Merci Toulouse ! \#JLMToulouse 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username .@Username Le Pen, quand elle dit qu'elle instaurera la préférence nationale par référendum, c'est faux et anti constitutionnel. \#E1
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username Oui. C'est un terme macronien. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Mission possible 😎 - Sortie le 23 avril \#UnFilmPourMélenchon
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username Qui a travaillé sur le rapport Attali pour sarko : Macron! Qui est conseiller et ministre de l'eco sous le quinquennat Hollande : Macron! 
"
