Text,id,Date,agendas_a:_don't_vote,agendas_a:_protest/campaign,agendas_a:_share_information,agendas_a:_vote,agendas_a:_vote_against_e,agendas_a:_vote_for_e,agendas_b:_good_outcome_is_possible,agendas_b:_e/g_is_immoral/harmful,agendas_b:_e/g_is_moral/beneficial,agendas_b:_election_process_fair,agendas_b:_election_process_flawed/manipulated_by_e/g,agendas_b:_self/g_is_at_risk,agendas_na,agendas_none,agendas_unannotatable,concerns_character_of_e,concerns_democracy,concerns_economy,concerns_environment,concerns_fake_news/misinfo,concerns_immigration/refugees,concerns_international_alliances,concerns_na,concerns_national_identity_&_pride,concerns_none,concerns_relationship_w/_russia,concerns_religion,concerns_terrorism/counterterrorism,concerns_unannotatable,emotions_admiration/love,emotions_amusement,emotions_anger/contempt/disgust,emotions_embarrassment/guilt/sadness,emotions_fear/pessimism,emotions_joy/happiness,emotions_na,emotions_negative-other,emotions_none,emotions_optimism/hope,emotions_positive-other,emotions_pride,emotions_unannotatable
"RT @Username @Username @Username @Username @Username Néanmoins, #Valls me parait indéfendable. De tous les points de vue possibles.... #PS #Folie",8bf25bb9167343f7e3bd97e3ab856c1f955e7b6e,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,1.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0
RT @Username .@Username @Username Merci davoir suivi le meeting de @Username RDV demain pour faire battre le <U+2764><U+FE0F> de la Place de la République à Paris. #Hamon2017 ,27d1120ee160feed86f8e4a96d2bab0c43dc7793,,0.0,0.666666667,0.333333333,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.666666667,0.0,0
RT @Username Toujours en bonne compagnie. @Username en ballade avec l'ancien SS Franz Schönhuber. A méditer avant de voter pour elle (Faites passer!) ,c80471be87970d495e13e1af5896c6e6f0223020,,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,1.0,0.666666667,0.333333333,0.0,0.0,0.0,0
"RT @Username #IVG @Username ""je serai intraitable sur la qualité et la véracité de l'information"" #Entrave #Désinformation #Droitsdesfemmes ",7982b6f00287db63f2b231ea3b12c9094c140312,,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.333333333,1.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,0.333333333,0.0,0
RT @Username STOP @Username avec ce type la PATRIE est en DANGER !!! ,3f518c1cbd76ebed81a77fbc3a173ef87554c514,,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
RT @Username Show me your big dirty French Cock daddy @Username,f8daba1cba8161fc73ac1c280d918a8271bfab2a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333,0.666666667,0.0,0.0,0.0,0
"RT @Username Madame Le Pen, je n'ai pas besoin d'un ventriloque. #LeGrandDébat ",85184bfc7a580119565da253bc218eadc0a57149,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.333333333,0.666666667,0.0,0.0,0.0,0
"RT @Username ""Je veux faire un moratoire sur les visas de longue durée, pour savoir où on en est sur l'immigration en France."" #Élysée2017",d108a2b1b988ae44f2fe01dbeb47337b9d7892e1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.333333333,0.0,0
"RT @Username Pour lutter contre le repli communautaire, il faut limiter limmigration à son strict minimum. Cest ce que je propose ! #FillonToulon",74fab64e6f3806037316fb1514f18815ee06f8db,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0
"RT @Username Pour aller plus loin, voici comment nous finançons le remboursement à 100% des soins prescrits. #LeGrandDebat #Debatbfm #JLM2017 ",a975cc4a8a5eef1a4fbd68148df7f073782390f9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.333333333,0.0,0
"RT @Username .@Username pour l'instant, le Twitter Game et le YouTube Game sont d'accord <U+0001F60F> ! ",0b8fb9ee83362b2e9da14ddcafbc283f6f8a873d,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0
RT @Username Des images de #Béziers et du Bassin de Thau dans le clip de campagne de @Username #présidentielle2017 ,8d511c21c35273d7e603483660f2e0c4599adade,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
RT @Username La force des peuple ! Avec Mélenchon les 23 avril et 7 mai 2017 ! Votons ! @Username #JLM2017 #PourToiJePeux #Melenchon ,b50f46cbd4c3481b6090e8caaa7aee9686b23e6f,,0.0,0.0,0.0,0.666666667,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.0,0
RT @Username <U+26A0> @Username aurait touché 50.000 $ pour jouer l'intermédiaire entre Poutine et un milliardaire libanais.. Source : @Username ,1a9668c9d6b6fbd739b1b0577fac5501bdc02995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0
"RT @Username Anaphore excellente de @Username sur ce qu'est un Président exemplaire. Un moment important du débat, un tournant ? #LeGrandDebat",8d9baed8dfce5297d3bceb4e9d0f39a2ca89ab97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.666666667,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.666666667,0.0,0
@Username @Username Mais elle se prend pour qui elle? Comment les médias peuvent ils encore inviter cette harpie ? Ils ne vont pas recommencer comme il y a 5 an,9f8f781b83332a7dd043509ac6dc5a11dda7876a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,1.0,0.666666667,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0
RT @Username Vous êtes une vrai girouette Mr @Username vous êtes comme les autres. Vous voulez le pouvoir à n'importe quel prix !!!! #MLPNDA ,1cc9465e0f4a86c02281d521039791497a0ed0b5,,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,0.333333333,0.0,0.0,0.0,0.0,0
RT @Username <U+0001F58B> « Les députés @Username : 1ère force d'opposition à la nouvelle loi Travail » | Mon communiqué :  #LoiTravail2,cbd554da1481d515719b1475b4673593e1605a7d,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.333333333,0.0,0
"RT @Username ""La violence est dans le projet de M. #Macron. C'est un programme de destruction sociale."" #RTLMatin",72011d2a3e8ca26af12cef76424a2814d68e9598,,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0,0.333333333,1.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0
@Username @Username @Username @Username @Username confiture,5898d7a4bb7493bd64436b443ac59eee67f80f0c,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,1
