Text,id,Date,agendas_a:_don't_vote,agendas_a:_protest/campaign,agendas_a:_share_information,agendas_a:_vote,agendas_a:_vote_against_e,agendas_a:_vote_for_e,agendas_b:_good_outcome_is_possible,agendas_b:_e/g_is_immoral/harmful,agendas_b:_e/g_is_moral/beneficial,agendas_b:_election_process_fair,agendas_b:_election_process_flawed/manipulated_by_e/g,agendas_b:_self/g_is_at_risk,agendas_na,agendas_none,agendas_unannotatable,concerns_character_of_e,concerns_democracy,concerns_economy,concerns_environment,concerns_fake_news/misinfo,concerns_immigration/refugees,concerns_international_alliances,concerns_na,concerns_national_identity_&_pride,concerns_none,concerns_relationship_w/_russia,concerns_religion,concerns_terrorism/counterterrorism,concerns_unannotatable,emotions_admiration/love,emotions_amusement,emotions_anger/contempt/disgust,emotions_embarrassment/guilt/sadness,emotions_fear/pessimism,emotions_joy/happiness,emotions_na,emotions_negative-other,emotions_none,emotions_optimism/hope,emotions_positive-other,emotions_pride,emotions_unannotatable
"RT @BanalCommeTout @beijing75 @partisocialiste @LePG @EELV Néanmoins, #Valls me parait indéfendable. De tous les points de vue possibles.... #PS #Folie",8bf25bb9167343f7e3bd97e3ab856c1f955e7b6e,NA,0,0,0,0,0,0,0,0.666666667,0,0,0,0,1,0.333333333,0,0.666666667,0,0,0,0,0,0,1,0,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,1,0.333333333,0.333333333,0,0,0,0
RT @JeunesAvecHamon .@benoithamon @CageJulia Merci d’avoir suivi le meeting de @benoithamon. RDV demain pour faire battre le <U+2764><U+FE0F> de la Place de la République à Paris. #Hamon2017 https://t.co/x39u6SRhh5,27d1120ee160feed86f8e4a96d2bab0c43dc7793,NA,0,0.666666667,0.333333333,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0.666666667,0,0
RT @stephaneguillon Toujours en bonne compagnie. @MLP_officiel en ballade avec l'ancien SS Franz Schönhuber. A méditer avant de voter pour elle (Faites passer!) https://t.co/Z3TsKIuCAM,c80471be87970d495e13e1af5896c6e6f0223020,NA,0,0,0.666666667,0,1,0,0,1,0,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,0.666666667,0.333333333,0,0,0,0
"RT @iborrasophie1 #IVG @EmmanuelMacron ""je serai intraitable sur la qualité et la véracité de l'information"" #Entrave #Désinformation #Droitsdesfemmes https://t.co/moD0Tkub8U",7982b6f00287db63f2b231ea3b12c9094c140312,NA,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,1,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,1,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0.333333333,0.333333333,0,0
RT @JCF70000 STOP @EmmanuelMacron avec ce type la PATRIE est en DANGER !!! https://t.co/xxyrOfl5jH,3f518c1cbd76ebed81a77fbc3a173ef87554c514,NA,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.666666667,0.333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
RT @KomptonMusic Show me your big dirty French Cock daddy @EmmanuelMacron,f8daba1cba8161fc73ac1c280d918a8271bfab2a,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0.666666667,0,0,0,0
"RT @EmmanuelMacron Madame Le Pen, je n'ai pas besoin d'un ventriloque. #LeGrandDébat https://t.co/20tDPWGaI4",85184bfc7a580119565da253bc218eadc0a57149,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0,0,0,0,0,1,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,1,0.333333333,0.666666667,0,0,0,0
"RT @MLP_officiel ""Je veux faire un moratoire sur les visas de longue durée, pour savoir où on en est sur l'immigration en France."" #Élysée2017",d108a2b1b988ae44f2fe01dbeb47337b9d7892e1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,0.333333333,0,0
"RT @FrancoisFillon Pour lutter contre le repli communautaire, il faut limiter l’immigration à son strict minimum. C’est ce que je propose ! #FillonToulon",74fab64e6f3806037316fb1514f18815ee06f8db,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0.333333333,0.333333333,0,0
"RT @jlm_2017 Pour aller plus loin, voici comment nous finançons le remboursement à 100% des soins prescrits. #LeGrandDebat #Debatbfm #JLM2017 https://t.co/QUKgW04nQl",a975cc4a8a5eef1a4fbd68148df7f073782390f9,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.666666667,0,0,0,0,1,0,0.333333333,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,0.333333333,0,0
"RT @JLMelenchon .@xSqueeZie pour l'instant, le Twitter Game et le YouTube Game sont d'accord <U+0001F60F> ! https://t.co/czDeQN2N32",0b8fb9ee83362b2e9da14ddcafbc283f6f8a873d,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.333333333,0,0,0,0,1,0,0.666666667,0,0,0,0
RT @RomainBerchet Des images de #Béziers et du Bassin de Thau dans le clip de campagne de @benoithamon #présidentielle2017 https://t.co/NohqELdeQP,8d511c21c35273d7e603483660f2e0c4599adade,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
RT @Sccoale La force des peuple ! Avec Mélenchon les 23 avril et 7 mai 2017 ! Votons ! @JLMelenchon #JLM2017 #PourToiJePeux #Melenchon https://t.co/rOEKYDTm8N,b50f46cbd4c3481b6090e8caaa7aee9686b23e6f,NA,0,0,0,0.666666667,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,0,0.333333333,0,0,0,0,0,0,0.333333333,1,0,0.333333333,0.333333333,0,0,0
RT @Nutizie3 <U+26A0> @FrancoisFillon aurait touché 50.000 $ pour jouer l'intermédiaire entre Poutine et un milliardaire libanais.. Source : @canardenchaine https://t.co/JJC1NRBsdn,1a9668c9d6b6fbd739b1b0577fac5501bdc02995,NA,0,0,0,0,0,0,0,0.333333333,0,0,0,0,1,0.666666667,0,0.666666667,0,0,0,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,1,0,0.666666667,0,0,0,0
